Indicator,Name,ORGID ,FACID ,Cohort,Fiscal Year,Value
Total Margin,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY14,0.0282
Total Margin,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY15,0.0734
Total Margin,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY16,0.09
Total Margin,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY17,0.065
Total Margin,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY18,0.082
Total Margin,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY14,0.0239
Total Margin,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY15,0.0415
Total Margin,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY16,0.045
Total Margin,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY17,0.034
Total Margin,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY18,-0.067
Total Margin,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY14,0.0409
Total Margin,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY15,0.0434
Total Margin,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY16,0.048
Total Margin,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY17,0.036
Total Margin,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY18,0.023
Total Margin,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY14,0.05
Total Margin,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY15,0.0281
Total Margin,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY16,0.035
Total Margin,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY17,0.02
Total Margin,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY18,0.032
Total Margin,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY14,0.0816
Total Margin,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY15,0.0375
Total Margin,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY16,0.057
Total Margin,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY17,0.02
Total Margin,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY18,0.066
Total Margin,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY14,0.0423
Total Margin,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY15,-0.0174
Total Margin,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY16,0.015
Total Margin,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY17,0.012
Total Margin,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY18,-0.001
Total Margin,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY14,0.0411
Total Margin,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY15,0.025
Total Margin,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY16,0.023
Total Margin,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY17,0.005
Total Margin,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY18,0.048
Total Margin,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY14,0.0356
Total Margin,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY15,0.0567
Total Margin,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY16,0.1
Total Margin,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY17,0.075
Total Margin,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY18,-0.002
Total Margin,Martha's Vineyard Hospital,88,2042,Community Hospital,FY14,0.0531
Total Margin,Martha's Vineyard Hospital,88,2042,Community Hospital,FY15,0.0313
Total Margin,Martha's Vineyard Hospital,88,2042,Community Hospital,FY16,0.046
Total Margin,Martha's Vineyard Hospital,88,2042,Community Hospital,FY17,0.07
Total Margin,Martha's Vineyard Hospital,88,2042,Community Hospital,FY18,0.032
Total Margin,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY14,-0.0023
Total Margin,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY15,0.0113
Total Margin,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY16,-0.012
Total Margin,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY17,-0.004
Total Margin,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY18,0.099
Total Margin,Massachusetts General Hospital,91,2168,Academic Medical Center,FY14,0.0599
Total Margin,Massachusetts General Hospital,91,2168,Academic Medical Center,FY15,0.0578
Total Margin,Massachusetts General Hospital,91,2168,Academic Medical Center,FY16,0.039
Total Margin,Massachusetts General Hospital,91,2168,Academic Medical Center,FY17,0.057
Total Margin,Massachusetts General Hospital,91,2168,Academic Medical Center,FY18,0.062
Total Margin,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY14,0.0507
Total Margin,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY15,0.0479
Total Margin,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY16,-0.007
Total Margin,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY17,0.029
Total Margin,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY18,0.079
Total Margin,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY14,0.0703
Total Margin,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY15,0.0623
Total Margin,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY16,-0.0182
Total Margin,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY17,0.038
Total Margin,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY18,-0.042
Total Margin,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY14,-0.024
Total Margin,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY15,0.0149
Total Margin,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY16,0.003
Total Margin,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY17,-0.013
Total Margin,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY18,0.019
Total Margin,Milford Regional Medical Center,97,2105,Community Hospital,FY14,0.0416
Total Margin,Milford Regional Medical Center,97,2105,Community Hospital,FY15,0.0372
Total Margin,Milford Regional Medical Center,97,2105,Community Hospital,FY16,0.001
Total Margin,Milford Regional Medical Center,97,2105,Community Hospital,FY17,0.047
Total Margin,Milford Regional Medical Center,97,2105,Community Hospital,FY18,0.039
Total Margin,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY14,0.0768
Total Margin,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY15,0.0466
Total Margin,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY16,0.011
Total Margin,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY17,-0.029
Total Margin,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY18,-0.072
Total Margin,Mount Auburn Hospital,100,2071,Teaching Hospital,FY14,0.0923
Total Margin,Mount Auburn Hospital,100,2071,Teaching Hospital,FY15,0.074
Total Margin,Mount Auburn Hospital,100,2071,Teaching Hospital,FY16,0.067
Total Margin,Mount Auburn Hospital,100,2071,Teaching Hospital,FY17,0.012
Total Margin,Mount Auburn Hospital,100,2071,Teaching Hospital,FY18,0.06
Total Margin,Nantucket Cottage Hospital,101,2044,Community Hospital,FY14,0.059
Total Margin,Nantucket Cottage Hospital,101,2044,Community Hospital,FY15,0.0226
Total Margin,Nantucket Cottage Hospital,101,2044,Community Hospital,FY16,-0.048
Total Margin,Nantucket Cottage Hospital,101,2044,Community Hospital,FY17,-0.197
Total Margin,Nantucket Cottage Hospital,101,2044,Community Hospital,FY18,-0.108
Total Margin,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY14,0.064
Total Margin,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY15,0.0689
Total Margin,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY16,0.025
Total Margin,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY17,-0.066
Total Margin,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY18,-0.019
Total Margin,New England Baptist Hospital,103,2059,Specialty Hospital,FY14,0.0231
Total Margin,New England Baptist Hospital,103,2059,Specialty Hospital,FY15,0.0242
Total Margin,New England Baptist Hospital,103,2059,Specialty Hospital,FY16,0.026
Total Margin,New England Baptist Hospital,103,2059,Specialty Hospital,FY17,0.041
Total Margin,New England Baptist Hospital,103,2059,Specialty Hospital,FY18,0.036
Total Margin,Newton-Wellesley Hospital,105,2075,Community Hospital,FY14,0.0275
Total Margin,Newton-Wellesley Hospital,105,2075,Community Hospital,FY15,0.0434
Total Margin,Newton-Wellesley Hospital,105,2075,Community Hospital,FY16,-0.016
Total Margin,Newton-Wellesley Hospital,105,2075,Community Hospital,FY17,0.004
Total Margin,Newton-Wellesley Hospital,105,2075,Community Hospital,FY18,0.002
Total Margin,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY14,-0.0532
Total Margin,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY15,-0.0859
Total Margin,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY16,-0.114
Total Margin,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY17,-0.139
Total Margin,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY18,-0.076
Total Margin,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY14,0.057
Total Margin,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY15,0.0394
Total Margin,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY16,0.072
Total Margin,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY17,0.09
Total Margin,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY18,0.074
Total Margin,Quincy Medical Center,112,2151,Community High Public Payer Hospital,FY14,-0.5702
Total Margin,Saint Vincent Hospital,127,2128,Teaching Hospital,FY14,0.1559
Total Margin,Saint Vincent Hospital,127,2128,Teaching Hospital,FY15,0.104
Total Margin,Saint Vincent Hospital,127,2128,Teaching Hospital,FY16,0.104
Total Margin,Saint Vincent Hospital,127,2128,Teaching Hospital,FY17,0.113
Total Margin,Saint Vincent Hospital,127,2128,Teaching Hospital,FY18,0.146
Total Margin,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY14,-4.0117
Total Margin,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY15,-6.7294
Total Margin,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY16,-6.94
Total Margin,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY17,-16.195
Total Margin,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY18,-3.783
Total Margin,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY14,-1.9842
Total Margin,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY15,-1.4122
Total Margin,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY16,-1.112
Total Margin,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY17,-0.691
Total Margin,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY18,-0.976
Total Margin,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY14,0.1043
Total Margin,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY15,0.0518
Total Margin,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY16,0.051
Total Margin,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY17,0.06
Total Margin,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY18,0.067
Total Margin,South Shore Hospital,122,2107,Community Hospital,FY14,0.033
Total Margin,South Shore Hospital,122,2107,Community Hospital,FY15,0.0887
Total Margin,South Shore Hospital,122,2107,Community Hospital,FY16,0.031
Total Margin,South Shore Hospital,122,2107,Community Hospital,FY17,0.016
Total Margin,South Shore Hospital,122,2107,Community Hospital,FY18,0.017
Total Margin,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY14,0.0718
Total Margin,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY15,0.1046
Total Margin,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY16,0.088
Total Margin,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY17,0.062
Total Margin,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY18,0.084
Total Margin,Steward Carney Hospital,42,2003,Teaching Hospital,FY14,-0.1019
Total Margin,Steward Carney Hospital,42,2003,Teaching Hospital,FY15,-0.0725
Total Margin,Steward Carney Hospital,42,2003,Teaching Hospital,FY16,-0.077
Total Margin,Steward Carney Hospital,42,2003,Teaching Hospital,FY17,-0.2
Total Margin,Steward Carney Hospital,42,2003,Teaching Hospital,FY18,-0.197
Total Margin,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY14,0.0802
Total Margin,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY15,0.0857
Total Margin,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY16,0.112
Total Margin,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY17,0.093
Total Margin,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY18,0.127
Total Margin,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY14,0.0531
Total Margin,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY15,0.0733
Total Margin,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY16,0.041
Total Margin,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY17,0.034
Total Margin,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY18,0.065
Total Margin,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY14,0.0526
Total Margin,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY15,0.0761
Total Margin,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY16,0.113
Total Margin,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY17,0.051
Total Margin,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY18,0.057
Total Margin,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY14,0.1048
Total Margin,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY15,0.0998
Total Margin,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY16,0.111
Total Margin,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY17,0.126
Total Margin,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY18,0.129
Total Margin,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY14,0.0546
Total Margin,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY15,0.0417
Total Margin,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY16,0.029
Total Margin,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY17,0.05
Total Margin,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY18,0.05
Total Margin,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY14,0.1726
Total Margin,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY15,0.1039
Total Margin,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY16,0.107
Total Margin,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY17,0.099
Total Margin,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY18,0.115
Total Margin,Tufts Medical Center,104,2299,Academic Medical Center,FY14,0.0281
Total Margin,Tufts Medical Center,104,2299,Academic Medical Center,FY15,-0.0264
Total Margin,Tufts Medical Center,104,2299,Academic Medical Center,FY16,0.02
Total Margin,Tufts Medical Center,104,2299,Academic Medical Center,FY17,0.016
Total Margin,Tufts Medical Center,104,2299,Academic Medical Center,FY18,0.044
Total Margin,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY14,0.013
Total Margin,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY15,0.0391
Total Margin,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY16,0.029
Total Margin,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY17,0.013
Total Margin,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY18,0.001
Total Margin,Winchester Hospital,138,2094,Community Hospital,FY14,0.0308
Total Margin,Winchester Hospital,138,2094,Community Hospital,FY15,0.1589
Total Margin,Winchester Hospital,138,2094,Community Hospital,FY16,0.098
Total Margin,Winchester Hospital,138,2094,Community Hospital,FY17,0.054
Total Margin,Winchester Hospital,138,2094,Community Hospital,FY18,-0.003
Operating Margin,Anna Jaques Hospital,1,2006,Community Hospital,FY14,0.01
Operating Margin,Anna Jaques Hospital,1,2006,Community Hospital,FY15,0.009
Operating Margin,Anna Jaques Hospital,1,2006,Community Hospital,FY16,0.011
Operating Margin,Anna Jaques Hospital,1,2006,Community Hospital,FY17,0.004
Operating Margin,Anna Jaques Hospital,1,2006,Community Hospital,FY18,0.01
Operating Margin,Athol Hospital,2,2226,Community High Public Payer Hospital,FY14,0.0585
Operating Margin,Athol Hospital,2,2226,Community High Public Payer Hospital,FY15,-0.0215
Operating Margin,Athol Hospital,2,2226,Community High Public Payer Hospital,FY16,0.03
Operating Margin,Athol Hospital,2,2226,Community High Public Payer Hospital,FY17,0.072
Operating Margin,Athol Hospital,2,2226,Community High Public Payer Hospital,FY18,0.044
Operating Margin,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY14,0.0172
Operating Margin,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY15,0.0594
Operating Margin,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY16,0.018
Operating Margin,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY17,-0.012
Operating Margin,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY18,0.004
Operating Margin,Baystate Medical Center,4,2339,Teaching Hospital,FY14,0.0632
Operating Margin,Baystate Medical Center,4,2339,Teaching Hospital,FY15,0.044
Operating Margin,Baystate Medical Center,4,2339,Teaching Hospital,FY16,0.047
Operating Margin,Baystate Medical Center,4,2339,Teaching Hospital,FY17,0.053
Operating Margin,Baystate Medical Center,4,2339,Teaching Hospital,FY18,0.066
Operating Margin,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY14,0.0238
Operating Margin,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY15,0.0107
Operating Margin,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY16,0.052
Operating Margin,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY17,-0.007
Operating Margin,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY18,0.02
Operating Margin,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY14,-0.074
Operating Margin,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY15,-0.0564
Operating Margin,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY16,-0.083
Operating Margin,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY14,0.0125
Operating Margin,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY15,-0.069
Operating Margin,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY16,-0.089
Operating Margin,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY17,-0.117
Operating Margin,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY18,-0.057
Operating Margin,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY14,0.0631
Operating Margin,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY15,0.0696
Operating Margin,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY16,0.076
Operating Margin,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY17,0.055
Operating Margin,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY18,0.057
Operating Margin,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY14,0.013
Operating Margin,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY15,0.0688
Operating Margin,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY16,0.041
Operating Margin,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY17,0.104
Operating Margin,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY18,0.038
Operating Margin,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY14,0.0243
Operating Margin,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY15,0.0397
Operating Margin,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY16,-0.012
Operating Margin,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY17,0.014
Operating Margin,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY18,0.053
Operating Margin,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY14,-0.0049
Operating Margin,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY15,0.0295
Operating Margin,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY16,0.003
Operating Margin,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY17,0.046
Operating Margin,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY18,0.04
Operating Margin,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY14,0.0216
Operating Margin,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY15,0.0271
Operating Margin,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY16,0.015
Operating Margin,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY17,0.017
Operating Margin,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY18,0.027
Operating Margin,Boston Children's Hospital ,46,2139,Specialty Hospital,FY14,0.0413
Operating Margin,Boston Children's Hospital ,46,2139,Specialty Hospital,FY15,0.0207
Operating Margin,Boston Children's Hospital ,46,2139,Specialty Hospital,FY16,0.018
Operating Margin,Boston Children's Hospital ,46,2139,Specialty Hospital,FY17,0.012
Operating Margin,Boston Children's Hospital ,46,2139,Specialty Hospital,FY18,0.023
Operating Margin,Boston Medical Center,3107,2307,Academic Medical Center,FY14,0.0302
Operating Margin,Boston Medical Center,3107,2307,Academic Medical Center,FY15,0.0065
Operating Margin,Boston Medical Center,3107,2307,Academic Medical Center,FY16,0.001
Operating Margin,Boston Medical Center,3107,2307,Academic Medical Center,FY17,0.01
Operating Margin,Boston Medical Center,3107,2307,Academic Medical Center,FY18,0.026
Operating Margin,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY14,0.0441
Operating Margin,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY15,0.0038
Operating Margin,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY16,0.074
Operating Margin,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY17,0.062
Operating Margin,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY18,0.108
Operating Margin,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY14,0.0597
Operating Margin,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY15,0.0245
Operating Margin,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY16,0.034
Operating Margin,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY17,0.018
Operating Margin,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY18,0.056
Operating Margin,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY14,-0.048
Operating Margin,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY15,-0.0046
Operating Margin,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY16,-0.0531
Operating Margin,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY17,-0.019
Operating Margin,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY18,-0.005
Operating Margin,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY14,0.0547
Operating Margin,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY15,0.0693
Operating Margin,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY16,0.075
Operating Margin,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY17,0.079
Operating Margin,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY18,0.069
Operating Margin,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY14,-0.0096
Operating Margin,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY15,-0.0558
Operating Margin,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY16,-0.095
Operating Margin,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY17,-0.182
Operating Margin,Cooley Dickinson Hospital,50,2155,Community Hospital,FY14,-0.0028
Operating Margin,Cooley Dickinson Hospital,50,2155,Community Hospital,FY15,0.0241
Operating Margin,Cooley Dickinson Hospital,50,2155,Community Hospital,FY16,0.039
Operating Margin,Cooley Dickinson Hospital,50,2155,Community Hospital,FY17,0.003
Operating Margin,Cooley Dickinson Hospital,50,2155,Community Hospital,FY18,-0.018
Operating Margin,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY14,-0.0402
Operating Margin,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY15,-0.0414
Operating Margin,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY16,-0.032
Operating Margin,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY17,-0.071
Operating Margin,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY18,-0.029
Operating Margin,Emerson Hospital,57,2018,Community Hospital,FY14,0.0063
Operating Margin,Emerson Hospital,57,2018,Community Hospital,FY15,0.0067
Operating Margin,Emerson Hospital,57,2018,Community Hospital,FY16,0.03
Operating Margin,Emerson Hospital,57,2018,Community Hospital,FY17,0
Operating Margin,Emerson Hospital,57,2018,Community Hospital,FY18,0.02
Operating Margin,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY14,0.0599
Operating Margin,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY15,0.0582
Operating Margin,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY16,0.041
Operating Margin,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY17,0.046
Operating Margin,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY18,0.028
Operating Margin,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY14,0.0696
Operating Margin,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY15,0.0818
Operating Margin,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY16,0.076
Operating Margin,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY17,0.023
Operating Margin,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY18,0.039
Operating Margin,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY14,-0.0016
Operating Margin,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY15,0.0564
